SampleID,Gender,Age-range,Region,Area
S424,Female,45-49,CASTILLA.LEON,Rest
S425,Female,55-59,LAMANCHA,Rest
S426,Male,60-64,BASQUE,Rest
S427,Female,25-29,CASTILLA.LEON,Rest
S428,Female,60-64,VALENCIANA,Mediterranean
S429,Male,25-29,BASQUE,Rest
S430,Male,50-54,MADRID,Rest
S431,Male,40-44,MADRID,Rest
S432,Male,18-24,VALENCIANA,Mediterranean
S433,Female,45-49,VALENCIANA,Mediterranean
S434,Male,18-24,VALENCIANA,Mediterranean
S435,Female,65-70,ANDALUCIA,Mediterranean
S436,Male,35-39,VALENCIANA,Mediterranean
S437,Female,50-54,VALENCIANA,Mediterranean
S438,Male,18-24,VALENCIANA,Mediterranean
S439,Male,18-24,VALENCIANA,Mediterranean
S440,Male,18-24,VALENCIANA,Mediterranean
S441,Male,18-24,VALENCIANA,Mediterranean
S442,Female,40-44,VALENCIANA,Mediterranean
S443,Female,18-24,VALENCIANA,Mediterranean
S444,Male,55-59,MURCIA,Mediterranean
S445,Female,25-29,MADRID,Rest
S446,Male,40-44,MADRID,Rest
S447,Female,35-39,MADRID,Rest
S448,Female,50-54,MADRID,Rest
S449,Male,55-59,MADRID,Rest
S450,Male,40-44,MADRID,Rest
S451,Male,45-49,ANDALUCIA,Mediterranean
S452,Male,60-64,CATALONIA,Mediterranean
S453,Male,60-64,MADRID,Rest
S454,Male,40-44,CASTILLA.LEON,Rest
S455,Male,35-39,CATALONIA,Mediterranean
S456,Male,25-29,ANDALUCIA,Mediterranean
S457,Male,40-44,VALENCIANA,Mediterranean
S458,Female,30-34,MADRID,Rest
S459,Female,50-54,BASQUE,Rest
S460,Female,55-59,CATALONIA,Mediterranean
S461,Female,35-39,ANDALUCIA,Mediterranean
S462,Female,45-49,ASTURIAS,Rest
S463,Female,45-49,VALENCIANA,Mediterranean
S464,Female,45-49,MADRID,Rest
S465,Female,18-24,VALENCIANA,Mediterranean
S466,Female,45-49,ASTURIAS,Rest
S467,Male,40-44,ANDALUCIA,Mediterranean
S468,Male,25-29,CASTILLA.LEON,Rest
S469,Male,30-34,ASTURIAS,Rest
